individual-local-identifier,level_1,x,y,z,total_seconds_normalized
88730,9596,0.22297727253253463,-0.15334546256672485,0.9626870234111131,0.14474390323857442
88730,9598,0.2325301086819594,-0.15913920559092892,0.9594813504181539,0.14798320613282112
88730,9600,0.23262969461197944,-0.15917159184749352,0.9594518380478887,0.14800991702625196
88730,9602,0.2332492555541902,-0.15945210881605487,0.9592548200439386,0.14822117591065934
88730,9606,0.23816815108555586,-0.16120346719410053,0.9577522508316482,0.1511763720293237
88730,9608,0.24376405109797875,-0.1633583773919723,0.955977577105323,0.15516600820267254
88732,9610,0.5332296171822943,-0.31108257825923874,0.7866980391886129,0.0
88732,9612,0.5338211716191719,-0.3121649184835003,0.7858676863183295,0.00018697625401574
88732,9619,0.5339587293399061,-0.31228287842096786,0.7857273567891269,0.0006119222858696945
88732,9630,0.5398773288297767,-0.3115726986272628,0.78195583205559,0.0037686642367847855
88732,9632,0.5401907957780985,-0.3116028048042905,0.7817273157532133,0.003919216545213044
88732,9640,0.5432310006977618,-0.31360928187569154,0.7788127491267213,0.007141521598185602
88732,9641,0.5445082189505569,-0.31327053003469496,0.7780567938827305,0.007209512963282235
88732,9651,0.5546924754877773,-0.308154832952052,0.7728886443502287,0.010609081218113872
88732,9653,0.5545910304361944,-0.30764263123873337,0.7731654418067513,0.010643076900662187
88732,9661,0.5557754458564441,-0.3061973174564668,0.7728886443502287,0.011172438243200257
88732,9665,0.5613310767143816,-0.30176559168875955,0.7706133595957222,0.014013505999023838
88732,9674,0.561565960993716,-0.3025491381514663,0.7701348521246193,0.014678850071755173
88732,9677,0.5654264525533605,-0.3019096088873029,0.7675568479366451,0.017551485247087904
88732,9679,0.5645144239330343,-0.3018532635617294,0.7682500064749024,0.0180298530658035
88732,9688,0.5742048521254113,-0.29761409631450503,0.7627021944838858,0.021264299433971887
88732,9694,0.5759877545773295,-0.29746770442740617,0.7614138634144084,0.02172809767445249
88732,9696,0.576662445899316,-0.29679695454738053,0.7611648909801466,0.021842226037293265
88732,9701,0.5878453881550794,-0.29412726296935643,0.7536092839150531,0.025319498709378194
